,retorno,rentabilidade,empresa,tag,tipo,retabilidade_ano,prazo,distribuidor,emissor
198,5.234,100.50,Luso Brasileiro 100.5% CDI por XP Investimentos,FGC,CDB,9.74% a.a.,16/04/2023,XP Investimentos,Luso Brasileiro
199,5.233,100.00,Caruana Financeira 100% CDI por modalmais,FGC,CDB,9.69% a.a.,16/04/2023,modalmais,Caruana Financeira
200,5.233,100.00,Caruana Financeira 100% CDI por Nova Futura Investimentos,FGC,CDB,9.69% a.a.,16/04/2023,Nova Futura Investimentos,Caruana Financeira
201,5.233,100.00,Pine 100% CDI por modalmais,FGC,CDB,9.69% a.a.,16/04/2023,modalmais,Pine
202,5.233,100.00,Banco Industrial do Brasil 100% CDI por modalmais,FGC,CDB,9.69% a.a.,16/04/2023,modalmais,Banco Industrial do Brasil
203,5.232,99.00,Daycoval 99% CDI por Guide Investimentos,FGC,CDB,9.60% a.a.,17/04/2023,Guide Investimentos,Daycoval
204,5.232,99.00,Senff Financeira 99% CDI por BTG Pactual,FGC,CDB,9.60% a.a.,17/04/2023,BTG Pactual,Senff Financeira
205,5.232,103.00,Fator 103% CDI por Nova Futura Investimentos,FGC,CDB,9.66% a.a.,15/04/2023,Nova Futura Investimentos,Fator
206,5.231,12.10,Pine Prefixado 12.1% por Daycoval,FGC,CDB,9.62% a.a.,16/04/2023,Daycoval,Pine
207,5.230,12.05,Daycoval Prefixado 12.05% por Daycoval,FGC,CDB,9.58% a.a.,16/04/2023,Daycoval,Daycoval
208,5.230,12.05,C6 Bank Prefixado 12.05% por Daycoval,FGC,CDB,9.58% a.a.,16/04/2023,Daycoval,C6 Bank
209,5.230,102.00,Paraná Banco 102% CDI por Nova Futura Investimentos,FGC,CDB,9.57% a.a.,15/04/2023,Nova Futura Investimentos,Paraná Banco
210,5.229,97.50,Bradesco 97.5% CDI por Ágora Investimentos,FGC,CDB,9.45% a.a.,17/04/2023,Ágora Investimentos,Bradesco
211,5.229,101.50,BTG Pactual 101.5% CDI por Nova Futura Investimentos,FGC,CDB,9.52% a.a.,15/04/2023,Nova Futura Investimentos,BTG Pactual
212,5.228,11.97,BS2 Prefixado 11.97% por Daycoval,FGC,CDB,9.52% a.a.,16/04/2023,Daycoval,BS2
213,5.225,96.00,Caixa Geral 96% CDI por Órama,FGC,CDB,9.31% a.a.,17/04/2023,Órama,Caixa Geral
214,5.225,96.00,Agibank 96% CDI por Órama,FGC,CDB,9.31% a.a.,17/04/2023,Órama,Agibank
215,5.225,96.00,Banco Master 96% CDI por Guide Investimentos,FGC,CDB,9.31% a.a.,17/04/2023,Guide Investimentos,Banco Master
216,5.225,96.00,Digimais 96% CDI por Ágora Investimentos,FGC,CDB,9.31% a.a.,17/04/2023,Ágora Investimentos,Digimais
217,5.225,96.00,Banco Inter 96% CDI por BTG Pactual,FGC,CDB,9.31% a.a.,17/04/2023,BTG Pactual,Banco Inter
218,5.223,95.00,Agibank 95% CDI por Ágora Investimentos,FGC,CDB,9.21% a.a.,17/04/2023,Ágora Investimentos,Agibank
219,5.221,11.60,Maxinvest Prefixado 11.6% por Daycoval,FGC,CDB,9.22% a.a.,16/04/2023,Daycoval,Maxinvest
220,5.221,94.00,Agibank 94% CDI por Nova Futura Investimentos,FGC,CDB,9.11% a.a.,17/04/2023,Nova Futura Investimentos,Agibank
221,5.221,94.00,Digimais 94% CDI por Guide Investimentos,FGC,CDB,9.11% a.a.,17/04/2023,Guide Investimentos,Digimais
222,5.221,94.00,BS2 94% CDI por Órama,FGC,CDB,9.11% a.a.,17/04/2023,Órama,BS2
223,5.221,94.00,Digimais 94% CDI por Guide Investimentos,FGC,CDB,9.11% a.a.,17/04/2023,Guide Investimentos,Digimais
224,5.218,93.00,Agibank 93% CDI por Guide Investimentos,FGC,CDB,9.02% a.a.,17/04/2023,Guide Investimentos,Agibank
225,5.216,92.00,BS2 92% CDI por Nova Futura Investimentos,FGC,CDB,8.92% a.a.,17/04/2023,Nova Futura Investimentos,BS2
226,5.214,91.00,BS2 91% CDI por Guide Investimentos,FGC,CDB,8.83% a.a.,17/04/2023,Guide Investimentos,BS2
227,5.205,10.63,Caruana Financeira Prefixado 10.63% por Ágora Investimentos,FGC,CDB,8.46% a.a.,17/04/2023,Ágora Investimentos,Caruana Financeira
