,retorno,rentabilidade,empresa,tag,tipo,retabilidade_ano,prazo,distribuidor,emissor
28,5.275,11.70,Pine Prefixado 11.7% por Nu invest,FGC,LCA,11.70% a.a.,12/04/2023,Nu invest,Pine
29,5.274,14.46,BRK Financeira Prefixado 14.46% por Nova Futura Investimentos,FGC,CDB,11.48% a.a.,16/04/2023,Nova Futura Investimentos,BRK Financeira
30,5.274,13.82,Pine Prefixado 13.82% por Órama,FGC,CDB,10.98% a.a.,24/04/2023,Órama,Pine
31,5.273,93.02,ABC 93.02% CDI por ABC Personal,FGC,LCA,11.34% a.a.,17/04/2023,ABC Personal,ABC
32,5.273,93.00,Bradesco 93% CDI por Ágora Investimentos,FGC,LCI,11.34% a.a.,17/04/2023,Ágora Investimentos,Bradesco
33,5.271,13.90,C6 Bank Prefixado 13.9% por Guide Investimentos,FGC,CDB,11.04% a.a.,19/04/2023,Guide Investimentos,C6 Bank
34,5.271,14.13,C6 Bank Prefixado 14.13% por Ágora Investimentos,FGC,CDB,11.22% a.a.,17/04/2023,Ágora Investimentos,C6 Bank
35,5.270,14.11,Alfa Prefixado 14.11% por BTG Pactual,FGC,CDB,11.21% a.a.,17/04/2023,BTG Pactual,Alfa
36,5.270,14.10,PAN Prefixado 14.1% por BTG Pactual,FGC,CDB,11.20% a.a.,17/04/2023,BTG Pactual,PAN
37,5.269,94.00,Pine 94% CDI por Nu invest,FGC,LCA,11.46% a.a.,12/04/2023,Nu invest,Pine
38,5.268,14.02,BTG Pactual Prefixado 14.02% por BTG Pactual,FGC,CDB,11.14% a.a.,17/04/2023,BTG Pactual,BTG Pactual
39,5.268,14.01,Paraná Banco Prefixado 14.01% por Ágora Investimentos,FGC,CDB,11.13% a.a.,17/04/2023,Ágora Investimentos,Paraná Banco
40,5.268,13.54,BMG Prefixado 13.54% por Órama,FGC,CDB,10.76% a.a.,24/04/2023,Órama,BMG
41,5.268,89.00,ABC 89% CDI por Guide Investimentos,FGC,LCA,10.85% a.a.,21/04/2023,Guide Investimentos,ABC
42,5.268,89.00,Alfa 89% CDI por Guide Investimentos,FGC,LCA,10.85% a.a.,20/04/2023,Guide Investimentos,Alfa
43,5.268,14.00,C6 Bank Prefixado 14% por BTG Pactual,FGC,CDB,11.12% a.a.,17/04/2023,BTG Pactual,C6 Bank
44,5.268,14.00,PAN Prefixado 14% por Ágora Investimentos,FGC,CDB,11.12% a.a.,17/04/2023,Ágora Investimentos,PAN
45,5.268,13.86,Paraná Banco Prefixado 13.86% por Guide Investimentos,FGC,CDB,11.01% a.a.,18/04/2023,Guide Investimentos,Paraná Banco
46,5.267,91.00,BTG Pactual 91% CDI por BTG Pactual,FGC,LCI,11.09% a.a.,17/04/2023,BTG Pactual,BTG Pactual
47,5.267,91.00,ABC 91% CDI por ABC Personal,FGC,LCA,11.09% a.a.,17/04/2023,ABC Personal,ABC
48,5.267,91.00,ABC 91% CDI por ABC Personal,FGC,LCA,11.09% a.a.,17/04/2023,ABC Personal,ABC
49,5.267,13.96,Paraná Banco Prefixado 13.96% por BTG Pactual,FGC,CDB,11.09% a.a.,17/04/2023,BTG Pactual,Paraná Banco
50,5.267,13.72,Pine Prefixado 13.72% por Guide Investimentos,FGC,CDB,10.90% a.a.,19/04/2023,Guide Investimentos,Pine
51,5.267,13.72,BTG Pactual Prefixado 13.72% por Nova Futura Investimentos,FGC,CDB,10.90% a.a.,19/04/2023,Nova Futura Investimentos,BTG Pactual
52,5.267,13.95,Pine Prefixado 13.95% por Ágora Investimentos,FGC,CDB,11.08% a.a.,17/04/2023,Ágora Investimentos,Pine
53,5.267,13.48,Tribanco Prefixado 13.48% por Órama,FGC,CDB,10.71% a.a.,24/04/2023,Órama,Tribanco
54,5.267,114.18,Tesouro SELIC 2027,,Tesouro Direto,11.06% a.a.,17/04/2023,Rico Investimentos,Tesouro Nacional
55,5.267,13.92,Pine Prefixado 13.92% por Pine Online,FGC,CDB,11.06% a.a.,17/04/2023,Pine Online,Pine
56,5.266,14.00,C6 Bank Prefixado 14% por Nova Futura Investimentos,FGC,CDB,11.12% a.a.,16/04/2023,Nova Futura Investimentos,C6 Bank
57,5.266,14.00,Banco Master Prefixado 14% por Nu invest,FGC,CDB,11.12% a.a.,16/04/2023,Nu invest,Banco Master
58,5.266,13.87,Pine Prefixado 13.87% por BTG Pactual,FGC,CDB,11.02% a.a.,17/04/2023,BTG Pactual,Pine
59,5.265,13.85,BTG Pactual Prefixado 13.85% por Ágora Investimentos,FGC,CDB,11.00% a.a.,17/04/2023,Ágora Investimentos,BTG Pactual
60,5.265,13.50,ABC Prefixado 13.5% por Guide Investimentos,FGC,CDB,10.73% a.a.,20/04/2023,Guide Investimentos,ABC
61,5.265,11.00,Rodobens Prefixado 11% por Nu invest,FGC,LCI,11.00% a.a.,17/04/2023,Nu invest,Rodobens
62,5.265,11.00,Rodobens Prefixado 11% por Nu invest,FGC,LCA,11.00% a.a.,17/04/2023,Nu invest,Rodobens
63,5.265,11.00,Rodobens Prefixado 11% por BTG Pactual,FGC,LCA,11.00% a.a.,17/04/2023,BTG Pactual,Rodobens
64,5.265,11.00,Rodobens Prefixado 11% por BTG Pactual,FGC,LCI,11.00% a.a.,17/04/2023,BTG Pactual,Rodobens
65,5.265,109.66,BRK Financeira CDI + 1.05% por Órama,FGC,CDB,10.63% a.a.,24/04/2023,Órama,BRK Financeira
66,5.265,113.32,Tesouro SELIC 2024,,Tesouro Direto,10.98% a.a.,17/04/2023,Rico Investimentos,Tesouro Nacional
67,5.265,13.93,Modal Prefixado 13.93% por modalmais,FGC,CDB,11.07% a.a.,16/04/2023,modalmais,Modal
68,5.264,13.80,PAN Prefixado 13.8% por Nu invest,FGC,CDB,10.96% a.a.,17/04/2023,Nu invest,PAN
69,5.264,13.90,RNX Prefixado 13.9% por modalmais,FGC,CDB,11.04% a.a.,16/04/2023,modalmais,RNX
70,5.263,13.73,Modal Prefixado 13.73% por BTG Pactual,FGC,CDB,10.91% a.a.,17/04/2023,BTG Pactual,Modal
71,5.263,88.00,BTG Pactual 88% CDI por Nova Futura Investimentos,FGC,LCA,10.73% a.a.,19/04/2023,Nova Futura Investimentos,BTG Pactual
72,5.263,13.60,Banco Master Prefixado 13.6% por Guide Investimentos,FGC,CDB,10.81% a.a.,18/04/2023,Guide Investimentos,Banco Master
73,5.262,13.80,Máxima Prefixado 13.8% por modalmais,FGC,CDB,10.96% a.a.,16/04/2023,modalmais,Máxima
74,5.262,89.00,BTG Pactual 89% CDI por Ágora Investimentos,FGC,LCA,10.85% a.a.,17/04/2023,Ágora Investimentos,BTG Pactual
75,5.262,89.00,Alfa 89% CDI por BTG Pactual,FGC,LCA,10.85% a.a.,17/04/2023,BTG Pactual,Alfa
76,5.259,13.53,Rodobens Prefixado 13.53% por BTG Pactual,FGC,CDB,10.75% a.a.,17/04/2023,BTG Pactual,Rodobens
77,5.259,13.52,BMG Prefixado 13.52% por Ágora Investimentos,FGC,CDB,10.74% a.a.,17/04/2023,Ágora Investimentos,BMG
78,5.259,13.51,Tribanco Prefixado 13.51% por Ágora Investimentos,FGC,CDB,10.73% a.a.,17/04/2023,Ágora Investimentos,Tribanco
79,5.259,88.00,BTG Pactual 88% CDI por Nu invest,FGC,LCA,10.73% a.a.,17/04/2023,Nu invest,BTG Pactual
80,5.258,13.44,BMG Prefixado 13.44% por BTG Pactual,FGC,CDB,10.68% a.a.,17/04/2023,BTG Pactual,BMG
81,5.258,13.43,Modal Prefixado 13.43% por Ágora Investimentos,FGC,CDB,10.67% a.a.,17/04/2023,Ágora Investimentos,Modal
82,5.257,110.00,Bari 110% CDI por Bari,FGC,CDB,10.66% a.a.,17/04/2023,Bari,Bari
83,5.257,13.29,BMG Prefixado 13.29% por Guide Investimentos,FGC,CDB,10.56% a.a.,18/04/2023,Guide Investimentos,BMG
84,5.257,88.00,Alfa 88% CDI por Guide Investimentos,FGC,LCA,10.73% a.a.,16/04/2023,Guide Investimentos,Alfa
85,5.257,107.00,BRK Financeira 107% CDI por Órama,FGC,CDB,10.37% a.a.,20/04/2023,Órama,BRK Financeira
86,5.255,110.00,Modal 110% CDI por modalmais,FGC,CDB,10.66% a.a.,16/04/2023,modalmais,Modal
87,5.255,13.28,Tribanco Prefixado 13.28% por BTG Pactual,FGC,CDB,10.55% a.a.,17/04/2023,BTG Pactual,Tribanco
88,5.255,13.39,BMG Prefixado 13.39% por Nova Futura Investimentos,FGC,CDB,10.64% a.a.,16/04/2023,Nova Futura Investimentos,BMG
89,5.253,109.00,Facta Financeira 109% CDI por XP Investimentos,FGC,CDB,10.56% a.a.,16/04/2023,XP Investimentos,Facta Financeira
90,5.253,13.28,Tribanco Prefixado 13.28% por modalmais,FGC,CDB,10.55% a.a.,16/04/2023,modalmais,Tribanco
